t, E,n,m
3.8399968,298510.25,384000,40
3.8499968,299243.28,385000,40
3.8599968,299973.22,386000,40
3.8699968,300709.97,387000,40
3.8799968,301439.6,388000,40
3.8899968,302165.16,389000,40
3.8999968,302890.7,390000,40
3.9099967,303617.06,391000,40
3.9199967,304342.16,392000,40
3.9299967,305068.1,393000,40
3.9399967,305802.4,394000,40
3.9499967,306527.94,395000,40
3.9599967,307254.47,396000,40
3.9699967,307983.56,397000,40
3.9799967,308709.94,398000,40
3.9899967,309440.25,399000,40
3.9999967,310169.8,400000,40
4.009997,310901.56,401000,40
4.019997,311631.22,402000,40
4.0299973,312357.34,403000,41
4.0399976,313089.62,404000,41
4.049998,313816.3,405000,41
4.059998,314543.3,406000,41
4.0699983,315264.3,407000,41
4.0799985,315991.5,408000,41
4.0899987,316721.28,409000,41
4.099999,317449.16,410000,41
4.109999,318170.7,411000,41
4.1199994,318894.84,412000,41
4.1299996,319618.53,413000,41
4.14,320341.03,414000,41
4.15,321062.84,415000,41
4.1600003,321781.38,416000,41
4.1700006,322498.88,417000,41
4.180001,323222.44,418000,41
4.190001,323941.2,419000,41
4.2000012,324665.6,420000,41
4.2100015,325385.97,421000,41
4.2200017,326109.34,422000,41
4.230002,326827.56,423000,41
4.240002,327546.94,424000,41
4.2500024,328273.2,425000,41
4.2600026,328996.44,426000,41
4.270003,329714.97,427000,41
4.280003,330439.1,428000,41
4.2900033,331158.44,429000,41
4.3000035,331875.75,430000,41
4.3100038,332596.62,431000,41
4.320004,333318.47,432000,41
4.330004,334040.44,433000,41
4.3400044,334757.38,434000,41
4.3500047,335475.62,435000,41
4.360005,336195.1,436000,41
4.370005,336916.6,437000,41
4.3800054,337640.25,438000,41
4.3900056,338363.03,439000,41
4.400006,339085.6,440000,41
4.410006,339805.4,441000,41
4.4200063,340520.94,442000,41
4.4300065,341242.72,443000,48
4.4400067,341959.47,444000,48
4.450007,342678.53,445000,48
4.460007,343395.2,446000,48
4.4700074,344102.62,447000,48
4.4800076,344823.7,448000,48
4.490008,345542.7,449000,48
4.500008,346257.53,450000,48
4.5100083,346974.97,451000,48
4.5200086,347693.22,452000,48
4.530009,348414.53,453000,48
4.540009,349130.84,454000,48
4.5500093,349841.44,455000,48
4.5600095,350561.2,456000,48
4.5700097,351272.47,457000,48
4.58001,351984.47,458000,48
4.59001,352704.6,459000,48
4.6000104,353425.78,460000,48
4.6100106,354147.94,461000,48
4.620011,354866.06,462000,48
4.630011,355585.6,463000,48
4.6400113,356303.25,464000,48
4.6500115,357020.2,465000,48
4.660012,357740.16,466000,48
4.670012,358455.56,467000,48
4.680012,359175.66,468000,48
4.6900125,359891.72,469000,48
4.7000127,360608.66,470000,48
4.710013,361325.3,471000,48
4.720013,362043.47,472000,48
4.7300134,362761.47,473000,48
4.7400136,363481.16,474000,48
4.750014,364201.3,475000,48
4.760014,364921.1,476000,48
4.7700143,365642.06,477000,48
4.7800145,366366.2,478000,48
4.7900147,367085.66,479000,51
4.800015,367801.5,480000,51
4.810015,368515.22,481000,51
4.8200154,369233.1,482000,51
4.8300157,369947.53,483000,51
4.840016,370662.28,484000,51
4.850016,371374.9,485000,51
4.8600163,372094.34,486000,51
4.8700166,372811.62,487000,51
4.880017,373522.22,488000,51
4.890017,374239.0,489000,51
4.9000173,374954.22,490000,51
4.9100175,375666.03,491000,51
4.9200177,376382.84,492000,51
4.930018,377097.1,493000,51
4.940018,377813.75,494000,51
4.9500184,378529.38,495000,51
4.9600186,379246.47,496000,51
4.970019,379963.66,497000,51
4.980019,380676.12,498000,51
4.9900193,381392.3,499000,51
5.0000196,382102.25,500000,51
5.01002,382815.6,501000,51
5.02002,383531.97,502000,51
5.03002,384241.47,503000,51
5.0400205,384960.3,504000,51
5.0500207,385674.03,505000,51
5.060021,386383.66,506000,51
5.070021,387096.62,507000,51
5.0800214,387809.38,508000,51
5.0900216,388520.0,509000,51
5.100022,389230.0,510000,51
5.110022,389942.44,511000,51
5.1200223,390654.22,512000,51
5.1300225,391368.56,513000,59
5.1400228,392089.75,514000,59
5.150023,392803.66,515000,59
5.160023,393520.34,516000,59
5.1700234,394236.22,517000,59
5.1800237,394949.62,518000,59
5.190024,395666.44,519000,59
5.200024,396375.22,520000,59
5.2100244,397084.8,521000,59
5.2200246,397797.38,522000,59
5.230025,398506.22,523000,59
5.240025,399218.38,524000,59
5.2500253,399928.38,525000,59
5.2600255,400637.4,526000,59
5.2700257,401346.7,527000,59
5.280026,402064.28,528000,59
5.290026,402787.6,529000,59
5.3000264,403502.3,530000,59
5.3100266,404214.62,531000,59
5.320027,404925.03,532000,59
5.330027,405637.06,533000,59
5.3400273,406353.6,534000,59
5.3500276,407072.8,535000,59
5.360028,407785.0,536000,59
5.370028,408498.75,537000,59
5.3800282,409211.28,538000,59
5.3900285,409922.0,539000,59
5.4000287,410635.6,540000,59
5.410029,411346.62,541000,59
5.420029,412054.6,542000,59
5.4300294,412767.0,543000,59
5.4400296,413479.8,544000,59
5.45003,414192.03,545000,59
5.46003,414909.97,546000,59
5.4700303,415625.56,547000,59
5.4800305,416343.56,548000,59
5.490031,417050.75,549000,59
5.500031,417762.78,550000,59
5.510031,418470.12,551000,59
5.5200315,419179.12,552000,59
5.5300317,419889.72,553000,59
5.540032,420600.4,554000,59
5.550032,421318.4,555000,59
5.5600324,422036.3,556000,59
5.5700326,422752.7,557000,59
5.580033,423466.78,558000,59
5.590033,424175.38,559000,59
5.6000333,424883.06,560000,59
5.6100335,425594.94,561000,59
5.6200337,426307.94,562000,59
5.630034,427020.62,563000,59
5.640034,427730.62,564000,59
5.6500344,428444.66,565000,59
5.6600347,429162.0,566000,59
5.670035,429879.06,567000,59
5.680035,430593.06,568000,59
5.6900353,431298.8,569000,59
5.7000356,432005.38,570000,59
5.710036,432716.56,571000,59
5.720036,433427.4,572000,59
5.7300363,434135.34,573000,59
5.7400365,434840.22,574000,59
5.7500367,435554.06,575000,59
5.760037,436269.47,576000,59
5.770037,436990.72,577000,59
5.7800374,437708.6,578000,59
5.7900376,438422.2,579000,59
5.800038,439133.5,580000,59
5.810038,439841.12,581000,59
5.8200383,440549.8,582000,59
5.8300385,441263.47,583000,59
5.840039,441977.75,584000,59
5.850039,442686.78,585000,59
5.860039,443400.7,586000,59
5.8700395,444117.53,587000,59
5.8800397,444830.5,588000,59
5.89004,445549.16,589000,63
5.90004,446270.47,590000,63
5.9100404,446984.12,591000,63
5.9200406,447700.03,592000,63
5.930041,448406.7,593000,63
5.940041,449118.66,594000,63
5.9500413,449837.56,595000,63
5.9600415,450554.7,596000,63
5.9700418,451271.62,597000,63
5.980042,451985.75,598000,63
5.990042,452700.6,599000,63
6.0000424,453415.25,600000,63
6.0100427,454137.78,601000,63
6.020043,454856.56,602000,63
6.030043,455575.53,603000,63
6.0400434,456291.9,604000,63
6.0500436,457005.6,605000,63
6.060044,457723.88,606000,63
6.070044,458438.75,607000,63
6.0800443,459157.25,608000,63
6.0900445,459872.88,609000,63
6.1000447,460586.12,610000,63
6.110045,461300.4,611000,63
6.120045,462014.94,612000,63
6.1300454,462729.22,613000,63
6.1400456,463439.88,614000,63
6.150046,464155.7,615000,63
6.160046,464871.7,616000,63
6.1700463,465584.16,617000,63
6.1800466,466299.03,618000,63
6.190047,467011.75,619000,63
6.200047,467727.16,620000,63
6.2100472,468442.2,621000,63
6.2200475,469162.1,622000,63
6.2300477,469877.47,623000,63
6.240048,470588.5,624000,63
6.250048,471298.6,625000,63
6.2600484,472007.3,626000,63
6.2700486,472719.5,627000,63
6.280049,473431.94,628000,63
6.290049,474141.1,629000,63
6.3000493,474851.12,630000,66
6.3100495,475557.1,631000,66
6.32005,476264.22,632000,66
6.33005,476976.47,633000,66
6.34005,477686.75,634000,66
6.3500504,478399.06,635000,66
6.3600507,479109.12,636000,66
6.370051,479821.6,637000,66
6.380051,480527.9,638000,66
6.3900514,481235.38,639000,66
6.4000516,481939.62,640000,66
6.410052,482642.06,641000,66
6.420052,483347.44,642000,66
6.4300523,484054.72,643000,66
6.4400525,484762.62,644000,66
6.4500527,485472.8,645000,66
6.460053,486178.38,646000,66
6.470053,486876.1,647000,66
6.4800534,487578.94,648000,66
6.4900537,488282.5,649000,66
6.500054,488990.84,650000,66
6.510054,489688.0,651000,66
6.5200543,490390.97,652000,66
6.5300546,491093.34,653000,66
6.540055,491793.66,654000,66
6.550055,492498.8,655000,66
6.5600553,493196.94,656000,66
6.5700555,493899.06,657000,66
6.5800557,494598.97,658000,66
6.590056,495299.47,659000,66
6.600056,496000.97,660000,66
6.6100564,496702.9,661000,66
6.6200566,497409.62,662000,66
6.630057,498115.97,663000,66
6.640057,498820.0,664000,66
6.6500573,499525.22,665000,66
6.6600575,500229.66,666000,66
6.670058,500935.53,667000,66
6.680058,501636.38,668000,66
6.690058,502337.34,669000,66
6.7000585,503034.88,670000,66
6.7100587,503733.78,671000,66
6.720059,504429.84,672000,66
6.730059,505132.78,673000,66
6.7400594,505832.97,674000,66
6.7500596,506538.5,675000,66
6.76006,507244.06,676000,66
6.77006,507948.9,677000,66
6.7800603,508647.3,678000,66
6.7900605,509345.0,679000,66
6.8000607,510045.97,680000,66
6.810061,510748.0,681000,71
6.820061,511446.75,682000,71
6.8300614,512144.1,683000,71
6.8400617,512846.03,684000,71
6.850062,513543.0,685000,71
6.860062,514243.9,686000,71
6.8700624,514948.0,687000,71
6.8800626,515647.97,688000,71
6.890063,516347.44,689000,71
6.900063,517044.47,690000,71
6.9100633,517742.06,691000,71
6.9200635,518438.34,692000,71
6.9300637,519135.12,693000,71
6.940064,519834.4,694000,71
6.950064,520531.66,695000,71
6.9600644,521230.4,696000,71
6.9700646,521923.97,697000,71
6.980065,522621.5,698000,71
6.990065,523320.88,699000,71
7.0000653,524016.7,700000,71
7.0100656,524723.25,701000,71
7.020066,525435.56,702000,71
7.030066,526117.7,703000,71
7.0400662,526795.8,704000,71
7.0500665,527470.6,705000,71
7.0600667,528155.5,706000,71
7.070067,528841.56,707000,71
7.080067,529531.44,708000,71
7.0900674,530227.8,709000,71
7.1000676,530912.75,710000,71
7.110068,531595.56,711000,71
7.120068,532280.06,712000,71
7.1300683,532981.06,713000,71
7.1400685,533679.9,714000,71
7.1500688,534382.25,715000,71
7.160069,535079.56,716000,71
7.170069,535771.5,717000,71
7.1800694,536477.25,718000,71
7.1900697,537172.0,719000,71
7.20007,537865.4,720000,71
7.21007,538555.2,721000,71
7.2200704,539245.94,722000,71
7.2300706,539934.25,723000,71
7.240071,540623.7,724000,71
7.250071,541311.0,725000,71
7.2600713,541998.3,726000,71
7.2700715,542686.1,727000,71
7.2800717,543373.4,728000,71
7.290072,544062.2,729000,71
7.300072,544749.0,730000,71
7.3100724,545442.3,731000,71
7.3200727,546134.56,732000,71
7.330073,546821.06,733000,71
7.340073,547512.56,734000,71
7.3500733,548209.5,735000,71
7.3600736,548900.3,736000,71
7.370074,549592.06,737000,71
7.380074,550275.75,738000,71
7.3900743,550967.2,739000,71
7.4000745,551665.25,740000,71
7.4100747,552366.9,741000,71
7.420075,553055.75,742000,71
7.430075,553745.56,743000,71
7.4400754,554439.94,744000,71
7.4500756,555136.7,745000,71
7.460076,555827.0,746000,71
7.470076,556522.7,747000,71
7.4800763,557200.6,748000,71
7.4900765,557884.94,749000,71
7.500077,558585.6,750000,71
7.510077,559276.94,751000,71
7.520077,559966.4,752000,71
7.5300775,560658.8,753000,71
7.5400777,561345.9,754000,71
7.550078,562021.25,755000,71
7.560078,562694.25,756000,71
7.5700784,563382.4,757000,71
7.5800786,564071.0,758000,71
7.590079,564755.2,759000,71
7.600079,565454.4,760000,71
7.6100793,566145.1,761000,71
7.6200795,566830.75,762000,71
7.6300797,567515.06,763000,71
7.64008,568195.2,764000,71
