t, E, n
6.730059, 248695.19, 1000
6.7400594, 248793.64, 1000
6.7500596, 248995.78, 1000
6.76006, 248777.02, 1000
6.77006, 248816.44, 1000
6.7800603, 248821.78, 1000
6.7900605, 248692.45, 1000
6.8000607, 248632.56, 1000
6.810061, 248567.4, 1000
6.820061, 248309.02, 1000
6.8300614, 248122.08, 1000
6.8400617, 248137.86, 1000
6.850062, 248034.98, 1000
6.860062, 248173.75, 1000
6.8700624, 248443.7, 1000
6.8800626, 248523.38, 1000
6.890063, 248381.95, 1000
6.900063, 248625.17, 1000
6.9100633, 248557.2, 1000
6.9200635, 248455.33, 1000
6.9300637, 248584.39, 1000
6.940064, 248632.47, 1000
6.950064, 248755.5, 1000
6.9600644, 248952.23, 1000
6.9700646, 248731.2, 1000
6.980065, 248788.61, 1000
6.990065, 248934.56, 1000
7.0000653, 249041.6, 1000
7.0100656, 249233.14, 1000
7.020066, 249087.69, 1000
7.030066, 249268.84, 1000
7.0400662, 249194.66, 1000
7.0500665, 249208.81, 1000
7.0600667, 249089.84, 1000
7.070067, 249073.58, 1000
7.080067, 249231.89, 1000
7.0900674, 249043.58, 1000
7.1000676, 249236.0, 1000
7.110068, 249573.95, 1000
7.120068, 249260.14, 1000
7.1300683, 249417.33, 1000
7.1400685, 249412.27, 1000
7.1500688, 249723.64, 1000
7.160069, 249657.05, 1000
7.170069, 249776.39, 1000
7.1800694, 249777.19, 1000
7.1900697, 250080.78, 1000
7.20007, 250073.3, 1000
7.21007, 250222.3, 1000
7.2200704, 250137.78, 1000
7.2300706, 250116.73, 1000
7.240071, 250129.2, 1000
7.250071, 250325.98, 1000
7.2600713, 250263.77, 1000
7.2700715, 250282.11, 1000
7.2800717, 250400.95, 1000
7.290072, 250417.89, 1000
7.300072, 250192.94, 1000
7.3100724, 250272.92, 1000
7.3200727, 250177.1, 1000
7.330073, 250420.78, 1000
7.340073, 250575.34, 1000
7.3500733, 250370.19, 1000
7.3600736, 250303.17, 1000
7.370074, 250605.98, 1000
7.380074, 250540.84, 1000
7.3900743, 250646.39, 1000
7.4000745, 250695.27, 1000
7.4100747, 250596.16, 1000
7.420075, 250373.42, 1000
7.430075, 250511.2, 1000
7.4400754, 250402.77, 1000
7.4500756, 250664.61, 1000
7.460076, 250576.58, 1000
7.470076, 250436.98, 1000
7.4800763, 250343.47, 1000
7.4900765, 250150.72, 1000
7.500077, 250264.16, 1000
7.510077, 250261.28, 1000
7.520077, 250259.6, 1000
7.5300775, 250126.05, 1000
7.5400777, 250423.53, 1000
7.550078, 250409.17, 1000
7.560078, 250503.19, 1000
7.5700784, 250573.38, 1000
7.5800786, 250300.77, 1000
7.590079, 250178.6, 1000
7.600079, 250245.88, 1000
7.6100793, 250118.22, 1000
7.6200795, 250222.05, 1000
7.6300797, 249899.98, 1000
7.64008, 249751.39, 1000
7.65008, 249787.97, 1000
7.6600804, 249982.28, 1000
7.6700807, 250008.23, 1000
7.680081, 250051.83, 1000
7.690081, 249970.5, 1000
7.7000813, 250023.36, 1000
7.7100816, 250014.8, 1000
7.720082, 250345.42, 1000
7.730082, 250553.45, 1000
7.7400823, 250615.38, 1000
7.7500825, 250311.12, 1000
7.7600827, 250171.52, 1000
7.770083, 249930.05, 1000
7.780083, 249708.88, 1000
7.7900834, 249499.95, 1000
7.8000836, 249607.81, 1000
7.810084, 249715.44, 1000
7.820084, 249562.1, 1000
7.8300843, 249303.61, 1000
7.8400846, 249467.6, 1000
7.850085, 249652.6, 1000
7.860085, 249797.94, 1000
7.8700852, 249883.48, 1000
7.8800855, 249736.22, 1000
7.8900857, 249755.5, 1000
7.900086, 249880.55, 1000
7.910086, 249786.94, 1000
7.9200864, 249669.94, 1000
7.9300866, 249616.28, 1000
7.940087, 249421.52, 1000
