t, n, Tsim, deviation, collisionCount
219.00876, 80,0.0,0,2
219.05876, 80,0.0,0,7
219.10876, 80,0.0,0,5
219.15877, 80,0.0,0,3
219.20877, 80,0.0,0,2
219.25877, 80,0.0,0,3
219.30878, 80,0.0,0,4
219.35878, 80,0.0,0,5
219.40878, 80,0.0,0,6
219.45879, 80,0.0,0,3
219.50879, 80,0.0,0,1
219.6088, 80,0.0,0,1
219.7088, 80,0.0,0,1
219.7588, 80,0.0,0,2
219.8088, 80,0.0,0,2
219.85881, 80,0.0,0,6
219.90881, 80,0.0,0,5
219.95882, 80,0.0,0,3
220.00882, 80,0.0,0,2
220.05882, 80,0.0,0,2
220.15883, 80,0.0,0,3
220.20883, 80,0.0,0,5
220.25883, 80,0.0,0,3
220.30884, 80,0.0,0,3
220.35884, 80,0.0,0,1
220.45885, 80,0.0,0,1
220.55885, 80,0.0,0,2
220.60886, 80,0.0,0,2
220.65886, 80,0.0,0,5
220.70886, 80,0.0,0,2
220.80887, 80,0.0,0,5
220.85887, 80,0.0,0,3
220.90887, 80,0.0,0,2
220.95888, 80,0.0,0,4
221.00888, 80,0.0,0,5
221.05888, 80,0.0,0,3
221.10889, 80,0.0,0,2
221.55891, 80,0.0,0,2
221.60892, 80,0.0,0,2
221.65892, 80,0.0,0,2
221.70892, 80,0.0,0,3
221.75893, 80,0.0,0,1
221.80893, 80,0.0,0,2
221.85893, 80,0.0,0,1
222.00894, 80,0.0,0,2
222.05894, 80,1.0,0,1
222.15895, 80,0.0,0,1
222.25896, 80,0.0,0,4
222.30896, 80,0.0,0,9
222.35896, 80,0.0,0,7
222.40897, 80,0.0,0,5
222.45897, 80,0.0,0,4
222.50897, 80,0.0,0,5
222.55898, 80,0.0,0,6
222.60898, 80,0.0,0,5
222.65898, 80,0.0,0,9
222.70898, 80,0.0,0,5
222.75899, 80,0.0,2,9
222.80899, 80,0.0,0,4
222.859, 80,0.0,0,8
222.909, 80,0.0,0,7
222.959, 80,1.0,0,3
223.009, 80,0.0,0,1
223.059, 80,0.0,0,4
223.10901, 80,0.0,0,3
223.15901, 80,0.0,0,5
223.20901, 80,0.0,0,5
223.25902, 80,0.0,0,2
223.30902, 80,0.0,0,9
223.35902, 80,0.0,0,4
223.40903, 80,0.0,0,7
223.45903, 80,0.0,0,6
223.50903, 80,0.0,0,4
223.55904, 80,0.0,0,7
223.60904, 80,0.0,0,5
223.65904, 80,0.0,0,2
223.70905, 80,0.0,0,2
223.75905, 80,0.0,0,2
